barcode,Centroid,nReads
A6,00705574-56db-4bff-9155-d2622317b651,8
A6,00c8177d-4ac5-41a9-a53e-408611663d4d,130
A6,019829b5-63d9-4127-87b6-0f7981d5a9af,1
A6,01e2531b-18a8-4c77-9118-9f80661288ff,1
A6,020701ff-14e2-4bec-a72e-435170f69b8b,1
A6,020bd5d8-067a-40fa-9d03-42fb9ef61810,2
A6,0269f8f6-873a-4c99-8a38-21b99dc5ea9d,1
A6,028e6167-f69c-47f3-bd99-4154e3cd593b,3
A6,02a9488e-26dd-46a0-bf93-a60706adf205,1
A6,02f033c9-ca93-4dfe-8b51-6b551dc1fda5,1
A6,03826519-7534-4b5d-b35b-dbfc5a265a30,1
A6,03aba306-42ba-4d4e-a69e-cfb2609ec678,512
A6,03d33316-d722-4ccc-a0d1-e0eef3a7b0a5,3
A6,03ea4860-c935-40b3-bf3b-9751360f3cca,17
A6,03f13fad-503d-4c6d-80c0-dd6d41711d2e,1
A6,04eb30cb-da72-4ea9-b265-0d29b29317fe,2
A6,054fa4e3-953b-4ca2-aa07-2e0aa3f9e29a,2
A6,06269194-57f4-40b3-824b-909d37615dbf,3
A6,062fe9f8-ce58-485e-a4c3-d3c9ca9db74d,1
A6,06361e29-3f92-4e60-aeee-4bd9101ed195,1
A6,06a62f05-0cf4-460b-abd9-95eb0dd0b018,3
A6,0728b0ba-5114-4366-be4d-d0b1ca3f42f2,1
A6,07f1ab12-aca1-424d-b63e-c390b1f1b594,33
A6,0835dc2e-89ea-458a-a5ae-d800d9d8f0b6,1
A6,089cf2ab-5064-4402-ade4-1fe4f64b6556,1
A6,08efb9a8-7f3a-4b53-8379-37b860066208,1
A6,091bb617-7060-4a16-b9c8-7f9c60fe004f,1
A6,096ba469-36bf-4254-a282-fc99809b6354,2
A6,0975780b-5007-4e3d-9f9e-a30392ee2a8c,2
A6,098bf8ea-7d04-4a7a-a73f-b345d4404395,1
A6,099fb942-0de7-4643-b0a0-15908fd23994,32
A6,09ab96a2-82ad-42cb-bac5-24cfe1a992c0,29
A6,0a999276-b397-4f06-aa16-5aa02c1639ee,67
A6,0ae0f259-8db0-4309-af14-4a64572e5532,1
A6,0c3a9b91-01f0-4723-afd3-d06c4e4c885b,1
A6,0c756de8-4437-4f80-834b-b45da06dbf89,3
