barcode,consensus,nReads
A6,Fungi%Ascomycota%NA%NA%NA%NA%NA,3
A6,Fungi%Basidiomycota%NA%NA%NA%NA%NA,17
A6,Fungi%NA%NA%NA%NA%NA%NA,1
A6,Fungi%Zoopagomycota%Zoopagomycetes%Zoopagales%Zoopagaceae%Acaulopage%Acaulopage tetraceros,36
A6,Metazoa%Annelida%Clitellata%NA%NA%NA%NA,2
A6,Metazoa%Annelida%Clitellata%Tubificida%Naididae%NA%NA,1
A6,Metazoa%Arthropoda%Branchiopoda%Diplostraca%NA%NA%NA,2
A6,Metazoa%Arthropoda%Collembola%NA%NA%NA%NA,1
A6,Metazoa%Arthropoda%Collembola%Symphypleona%Sminthurididae%Sminthurides%Sminthurides aquaticus,19
A6,Metazoa%Nematoda%Chromadorea%Plectida%Plectidae%NA%NA,65
A6,Metazoa%Platyhelminthes%Catenulida%NA%Stenostomidae%Stenostomum%NA,1
A6,NA%Bacillariophyta%Bacillariophyceae%Naviculales%Naviculaceae%NA%NA,2
A6,NA%Bacillariophyta%Bacillariophyceae%Naviculales%Naviculaceae%Navicula%NA,1
A6,NA%Bacillariophyta%Fragilariophyceae%Licmophorales%Ulnariaceae%Ulnaria%NA,2
A6,NA%Ciliophora%NA%NA%NA%NA%NA,1
A6,NA%Ciliophora%Prostomatea%Prorodontida%Colepidae%Coleps%Coleps spetai,1
A6,NA%Ciliophora%Spirotrichea%NA%NA%NA%NA,126
A6,NA%Ciliophora%Spirotrichea%NA%Strombidiidae%Limnostrombidium%Limnostrombidium viride,15
A6,NA%Ciliophora%Spirotrichea%NA%Strombidiidae%NA%NA,10
A6,NA%Ciliophora%Spirotrichea%Sporadotrichida%Oxytrichidae%Oxytricha%Oxytricha paragranulifera,1
A6,NA%Ciliophora%Spirotrichea%Stichotrichida%Parabirojimidae%Parabirojimia%Parabirojimia similis,56
A6,NA%Endomyxa%NA%Vampyrellida%Leptophryidae%Vernalophrys%Vernalophrys algivore,1
A6,NA%Euglenozoa%Euglenida%Euglenales%NA%NA%NA,28
A6,NA%Euglenozoa%Euglenida%Euglenales%Phacaceae%Phacus%Phacus mariae,4
A6,NA%NA%Bigyra%Bicosoecida%NA%NA%NA,1
A6,NA%NA%Bigyra%Bicosoecida%Siluaniidae%Filos%Filos agilis,1
A6,NA%NA%Bigyra%Bicosoecida%Siluaniidae%NA%NA,9
A6,NA%NA%Bigyra%Bicosoecida%Siluaniidae%Nerada%Nerada mexicana,1
A6,NA%NA%Cryptophyceae%Cryptomonadales%Cryptomonadaceae%Cryptomonas%Cryptomonas pyrenoidifera,37
A6,NA%NA%Cryptophyceae%NA%NA%NA%NA,19
A6,NA%NA%Cryptophyceae%NA%NA%Urgorri%Urgorri complanatus,2
A6,NA%NA%Cryptophyceae%Pyrenomonadales%Chroomonadaceae%Komma%Komma caudata,1
A6,NA%NA%Cryptophyceae%Pyrenomonadales%Geminigeraceae%Geminigera%Geminigera cryophila,4
