Centroid,consensus,barcode,nReads
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,A6,4
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,A7,6
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,A8,4
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,B6,21
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,B7,3
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,C7,3
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,C8,38
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,D6,2
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,D7,3
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,D8,20
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,E6,3
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,E7,7
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,E8,30
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,F7,3
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,F8,34
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,G6,10
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,G7,3
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,G8,35
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,H4,22
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,H5,2
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,H6,17
af0ae237-170f-4515-8458-ec06009727da,NA%NA%NA%NA%NA%NA%NA,unknown,1
d12c2324-23ec-4fce-b822-a4d97092f159,NA%NA%NA%NA%NA%NA%NA,A6,2
d12c2324-23ec-4fce-b822-a4d97092f159,NA%NA%NA%NA%NA%NA%NA,A7,3
