sample,Hash,nReads,kingdom,phylum,class,order,family,genus,species,Host_name,Host_DNA
Gb_BS_imp_15O4_s_31,f44ac08e3c5cfad380cfa3d770592e146930c7f2,26497,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia barretti,Geodia barretti,Host DNA
Gb_BS_imp_15O4_s_31,9aef3586aa256c6e06806ccb09ae7bb0a0f24341,768,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_15O4_s_31,6d6f14d6ba7aa6b49ddcda03715674e65f4792a9,361,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_15O4_s_31,739346680c620bc482ee29b5bbe2c37a9512e0bd,10,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia barretti,Geodia barretti,Host DNA
Gb_BS_imp_15O4_s_31,cf3ec0cb0eb4f7929a4e56704829c84a11d5364b,10,Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Grateloupia,Grateloupia catenata,Geodia barretti,nsDNA
Gb_BS_imp_15O4_s_31,f8b9eb41062c85032102ea133d3e36085b5bbd75,8,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia parva,Geodia barretti,nsDNA
Gb_BS_imp_15O4_s_31,d0e7fc10597fbd4e38adfa9ec129815add14008d,6,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_15O4_s_31,d0fb443d8254ef3938250f996e31d776fffca1ca,5,Metazoa,NA,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_15O4_s_31,bb722ffcc977896e7012fb24d1eccd53c922775f,4,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia hentscheli,Geodia barretti,nsDNA
Gb_BS_imp_15O4_s_31,4aef5cca6bf8bbd9319d24069765ef96d69e5ef7,2,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia phlegraei,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,f44ac08e3c5cfad380cfa3d770592e146930c7f2,73080,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia barretti,Geodia barretti,Host DNA
Gb_BS_imp_18R6_s_38,6d6f14d6ba7aa6b49ddcda03715674e65f4792a9,412,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,449191325f3041ac38ee930757b92a531f859f79,43,Chromista,Myzozoa,Dinophyceae,Syndiniales,Syndiniaceae,Hematodinium,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,61316716168d01b71b72a5140a56d94ded89efb2,30,Metazoa,NA,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,901d0baa3e5fd57bcb91694d64f604461be7c5f4,21,Chromista,Oomycota,NA,Pythiales,Pythiaceae,Pythium,Pythium insidiosum,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,927e3f230483f54e1853f56b2a2f3878f1cdae7b,20,Chromista,Myzozoa,Dinophyceae,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,2db851d5599c838169714d594feb25e28e57fcbc,18,Chromista,Bacillariophyta,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,82c2308c63fd3abb135d3072576e71a97f68efd8,18,Chromista,Phaeophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Microspongium,Microspongium tenuissimum,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,da75395a583cbce4ec03e14e7e1580f9ef099964,18,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Gibsmithia,Gibsmithia hawaiiensis,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,1bf6786401572c4f28601dae04fd4f56298c17b3,17,Metazoa,NA,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,dbdbeb048375a9eb1c0a5f25a9d13b88ab6c07d9,17,Metazoa,NA,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,f61e823b4ae1bf0dc2d5b26ea946fc75371553de,16,Other Eukaryota,NA,Dinophyceae,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,697fbe5e6d2f6b4cf245da433e53d868cd1acfbc,15,Metazoa,NA,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
